AU,3029,Tarneit,Victoria,VIC,MELB NORTH WEST,,,,-37.8667,144.6667,4
AU,3029,Hoppers Crossing,Victoria,VIC,MELB NORTH WEST,,,,-37.8826,144.7003,4
AU,3030,Cocoroc,Victoria,VIC,,,,,-37.8887,144.726,3
AU,3030,Werribee,Victoria,VIC,MELB NORTH WEST,,,,-37.9,144.6667,4
AU,3030,Werribee South,Victoria,VIC,,,,,-37.9475,144.7167,4
AU,3030,Derrimut,Victoria,VIC,MELB NORTH WEST,,,,-37.7924,144.7699,4
AU,3030,Quandong,Victoria,VIC,,,,,-37.8887,144.726,3
AU,3030,Point Cook,Victoria,VIC,MELB NORTH WEST,,,,-37.9148,144.7509,4
AU,3031,Flemington,Victoria,VIC,FOOTSCRAY,,,,-37.7899,144.9226,1
AU,3031,Kensington,Victoria,VIC,FOOTSCRAY,,,,-37.7899,144.9226,1
AU,3032,Ascot Vale,Victoria,VIC,FOOTSCRAY,,,,-37.7833,144.9167,4
AU,3032,Highpoint City,Victoria,VIC,FOOTSCRAY,,,,-37.7747,144.8999,3
AU,3032,Maribyrnong,Victoria,VIC,FOOTSCRAY,,,,-37.7833,144.8833,4
AU,3032,Travancore,Victoria,VIC,FOOTSCRAY,,,,-37.7808,144.9354,4
AU,3033,Keilor East,Victoria,VIC,FOOTSCRAY,,,,-37.739,144.8547,1
AU,3034,Avondale Heights,Victoria,VIC,FOOTSCRAY,,,,-37.7616,144.8626,4
AU,3036,Keilor North,Victoria,VIC,FOOTSCRAY,,,,-37.693,144.8008,3
AU,3036,Keilor,Victoria,VIC,FOOTSCRAY,,,,-37.7167,144.8333,4
AU,3037,Taylors Hill,Victoria,VIC,,,,,-37.7034,144.7619,3
AU,3037,Hillside,Victoria,VIC,FOOTSCRAY,,,,-37.6905,144.7417,4
AU,3037,Delahey,Victoria,VIC,FOOTSCRAY,,,,-37.7198,144.7773,4
AU,3037,Sydenham,Victoria,VIC,FOOTSCRAY,,,,-37.7,144.7667,4
AU,3037,Calder Park,Victoria,VIC,,,,,-37.7034,144.7619,3
AU,3038,Keilor Lodge,Victoria,VIC,,,,,-37.6986,144.7863,3
AU,3038,Watergardens,Victoria,VIC,,,,,-37.6986,144.7863,3
AU,3038,Taylors Lakes,Victoria,VIC,FOOTSCRAY,,,,-37.6986,144.7863,4
AU,3038,Keilor Downs,Victoria,VIC,FOOTSCRAY,,,,-37.7066,144.794,3
AU,3039,Moonee Ponds,Victoria,VIC,FOOTSCRAY,,,,-37.7667,144.9167,4
AU,3040,Essendon West,Victoria,VIC,FOOTSCRAY,,,,-37.7538,144.8883,3
